company,laptop_full_name,typeName,inches,screen_resolution,storage_capacity,cpu,gpu,ram,memory,operating_system,weight,price,URL
HP,"HP 15, 13th Gen Intel Core i3-1315U (12GB DDR4, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6''/39.6cm, Win11, M365 Basic(1yr)* Office24, Silver, 1.59kg, fd0573TU, FHD Camera w/Shutter Laptop",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"₹41,990.00",https://www.amazon.in/dp/B0F4R3GFMQ
acer,"acer Aspire Go 14,14th Gen, Intel Core Ultra 5 125H, 16GB DDR5, 512GB, WUXGA IPS, 14.0""/35.56cm, Win 11, MS Office, Steel Gray, 1.5 kg, AG14-71M, Backlit KB, AI Powered Laptop",‎Aspire Go 14,‎14 Inches,N/A,N/A,N/A,‎Intel Graphics,N/A,N/A,‎Windows 11 Home,‎1 kg 500 g,"₹53,299.00",https://www.amazon.in/dp/B0FDL57MKD
acer,"acer Aspire 3, Intel Pentium N6000, 12GB LPDDR4X RAM, 512GB SSD, HD, 15.6""/39.62cm, Windows 11 Home, Pure Silver, 1.5KG, A325-45, Thin and Light Laptop",N/A,N/A,N/A,N/A,N/A,N/A,N/A,512GB,N/A,N/A,"₹28,990.00",https://www.amazon.in/dp/B0GLXWY8ZX
acer,"acer Nitro V 15, AMD Ryzen 7-7445HS, NVIDIA GeForce RTX 4050-6 GB, 16GB DDR5, 512GB SSD, FHD IPS, 15.6""/39.62cm, 165Hz, Win 11 Home, Obsidian Black, 2.1KG, ANV15-42, Gaming Laptop",‎Nitro V 15,‎15.6 Inches,N/A,N/A,N/A,N/A,N/A,N/A,‎Windows 11 Home,‎2 kg 100 g,"₹76,990.00",https://www.amazon.in/dp/B0DFWRZLK5
EBook,"EBook 11.6"" HD Laptop | Best Student & Office Work Laptop | Celeron N4020 | 4GB DDR4 | 128GB eMMC + M.2 SSD Expandable Slot | Win 11 Home |31Wh Battery | UHD Graphics 600 | Black",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"₹10,990.00",https://www.amazon.in/dp/B0G2MT8YVV
Dell,"Dell 15, 13th Gen Intel Core i5-1334U (16GB DDR4, 512GB SSD) Anti-Glare FHD 15.6""/39.62cm, Windows 11, MS Office'24, Grey, 1.66kg, [Vostro 3530], Intel Iris, 12 Month McAfee, Thin & Light Laptop",N/A,N/A,N/A,N/A,N/A,N/A,N/A,512GB,N/A,N/A,"₹56,990.00",https://www.amazon.in/dp/B0D2Y1BLDT
acer,"acer AMD Ryzen 7 7730U Processor, 16GB DDR4 RAM, 512 GB SSD, Full HD IPS, 14”/35.56 cm, Windows 11 Home, Silver, 1.38 kg, TL14-42M, Backlit KB, Fingerprint Reader,TravelLite Business Laptop",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"₹66,333.00",https://www.amazon.in/dp/B0GKNHRX43
HP,"HP Omnibook 5 OLED (Previously Pavilion), Snapdragon X Processor (16GB LPDDR5x,1TB SSD) 2K OLED,16''/40.6cm, Win11, M365*Office24, Glacier Silver, 1.59kg, fb0001QU, Backlit, Next-Gen AI Laptop",‎HP Laptop,‎40.6 Centimetres,N/A,N/A,N/A,N/A,N/A,N/A,‎Windows 11 Home,‎1 kg 590 g,"₹64,517.00",https://www.amazon.in/dp/B0FRM3G9JF
BrowseBook,"BrowseBook 14.1"" FHD IPS Laptop | Best Student & Office Work Laptop | Celeron N4020 | 4GB RAM | 128GB SSD | Windows 11 | 38Wh | 1.3kg | Grey",N/A,N/A,N/A,N/A,N/A,N/A,4GB,128GB,N/A,N/A,"₹12,990.00",https://www.amazon.in/dp/B0FC64RYH1
MSI,"MSI Thin 15, Intel 13th Gen. Core i5-13420H, 40CM FHD 144Hz Gaming Laptop(16GB/512GB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 3050,GDDR6 4GB/Cosmos Gray/1.86Kg), B13UC-1805IN",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"₹59,490.00",https://www.amazon.in/dp/B0CV9J1QSM
